date,open,close,low
2022-05-27 10:59:59.999,41102.29000000,40939.11000000,40918.78000000
2022-05-27 11:59:59.999,40956.02000000,40585.27000000,40497.27000000
2022-05-27 12:59:59.999,40583.16000000,40646.82000000,40433.17000000
2022-05-27 13:59:59.999,40643.60000000,40686.85000000,40618.18000000
2022-05-27 14:59:59.999,40688.24000000,40483.86000000,40463.15000000
2022-05-27 15:59:59.999,40488.40000000,40366.24000000,40112.90000000
2022-05-27 16:59:59.999,40375.26000000,40641.79000000,40147.65000000
2022-05-27 17:59:59.999,40636.72000000,40621.65000000,40474.17000000
2022-05-27 18:59:59.999,40629.02000000,40527.54000000,40348.90000000
2022-05-27 19:59:59.999,40538.34000000,40642.40000000,40436.88000000
2022-05-27 20:59:59.999,40619.75000000,40373.54000000,40308.57000000
2022-05-27 21:59:59.999,40367.79000000,40491.53000000,40341.50000000
2022-05-27 22:59:59.999,40480.38000000,40968.32000000,40390.84000000
2022-05-27 23:59:59.999,40966.27000000,40952.76000000,40694.71000000
2022-05-28 00:59:59.999,40956.94000000,40225.41000000,40156.84000000
2022-05-28 01:59:59.999,40224.99000000,40339.46000000,40021.00000000
2022-05-28 02:59:59.999,40344.92000000,40225.85000000,40109.45000000
2022-05-28 03:59:59.999,40234.00000000,39727.31000000,39655.58000000
2022-05-28 04:59:59.999,39725.90000000,39769.07000000,39550.00000000
2022-05-28 05:59:59.999,39798.79000000,40344.92000000,39723.01000000
2022-05-28 06:59:59.999,40318.31000000,40182.05000000,40165.07000000
2022-05-28 07:59:59.999,40253.36000000,40143.10000000,40084.84000000
2022-05-28 08:59:59.999,40139.74000000,40286.43000000,40040.19000000
2022-05-28 09:59:59.999,40294.84000000,39968.24000000,39874.20000000
2022-05-28 10:59:59.999,40030.42000000,40250.98000000,39900.00000000
2022-05-28 11:59:59.999,40262.88000000,39963.33000000,39849.27000000
2022-05-28 12:59:59.999,39994.39000000,40092.79000000,39956.93000000
2022-05-28 13:59:59.999,40051.39000000,40301.58000000,40004.88000000
2022-05-28 14:59:59.999,40250.60000000,40300.00000000,40220.16000000
2022-05-28 15:59:59.999,40300.00000000,40291.50000000,40224.65000000
2022-05-28 16:59:59.999,40286.42000000,40305.00000000,40236.32000000
2022-05-28 17:59:59.999,40305.00000000,40324.06000000,40182.42000000
2022-05-28 18:59:59.999,40324.06000000,40282.04000000,40161.08000000
2022-05-28 19:59:59.999,40299.00000000,40193.94000000,40126.01000000
2022-05-28 20:59:59.999,40193.07000000,40191.91000000,40158.62000000
2022-05-28 21:59:59.999,40169.55000000,40238.73000000,40149.38000000
2022-05-28 22:59:59.999,40212.25000000,40474.76000000,40206.82000000
2022-05-28 23:59:59.999,40478.86000000,40560.21000000,40415.33000000
2022-05-29 00:59:59.999,40556.29000000,40483.12000000,40419.44000000
2022-05-29 01:59:59.999,40484.50000000,40543.87000000,40413.10000000
2022-05-29 02:59:59.999,40535.01000000,40444.76000000,40444.76000000
2022-05-29 03:59:59.999,40453.14000000,40403.03000000,40272.25000000
2022-05-29 04:59:59.999,40417.80000000,40576.89000000,40417.80000000
2022-05-29 05:59:59.999,40560.00000000,40616.30000000,40500.95000000
2022-05-29 06:59:59.999,40607.76000000,40608.41000000,40547.63000000
2022-05-29 07:59:59.999,40612.08000000,40596.34000000,40526.27000000
2022-05-29 08:59:59.999,40572.26000000,40574.74000000,40544.97000000
2022-05-29 09:59:59.999,40569.08000000,40609.29000000,40550.01000000
2022-05-29 10:59:59.999,40614.45000000,40548.48000000,40512.01000000
2022-05-29 11:59:59.999,40546.42000000,40419.21000000,40388.02000000
2022-05-29 12:59:59.999,40411.20000000,40408.60000000,40293.68000000
2022-05-29 13:59:59.999,40395.48000000,40482.27000000,40364.82000000
2022-05-29 14:59:59.999,40485.88000000,40399.54000000,40398.51000000
2022-05-29 15:59:59.999,40394.90000000,40549.07000000,40381.48000000
2022-05-29 16:59:59.999,40560.54000000,40524.54000000,40478.99000000
2022-05-29 17:59:59.999,40531.15000000,40513.13000000,40480.00000000
2022-05-29 18:59:59.999,40522.77000000,40611.87000000,40495.96000000
2022-05-29 19:59:59.999,40608.69000000,40526.24000000,40480.00000000
2022-05-29 20:59:59.999,40535.65000000,40759.58000000,40535.65000000
2022-05-29 21:59:59.999,40775.17000000,40849.76000000,40708.48000000
2022-05-29 22:59:59.999,40864.42000000,41087.69000000,40835.82000000
2022-05-29 23:59:59.999,41088.30000000,41022.18000000,40984.67000000
2022-05-30 00:59:59.999,41012.91000000,40969.62000000,40969.62000000
2022-05-30 01:59:59.999,40960.41000000,40857.64000000,40779.74000000
2022-05-30 02:59:59.999,40848.63000000,40917.70000000,40826.01000000
2022-05-30 03:59:59.999,40923.78000000,40833.94000000,40785.89000000
2022-05-30 04:59:59.999,40829.72000000,40750.01000000,40750.00000000
2022-05-30 05:59:59.999,40777.98000000,40667.60000000,40629.08000000
2022-05-30 06:59:59.999,40691.33000000,40765.17000000,40637.99000000
2022-05-30 07:59:59.999,40760.64000000,40859.96000000,40745.01000000
2022-05-30 08:59:59.999,40860.00000000,41106.02000000,40750.00000000
2022-05-30 09:59:59.999,41073.62000000,41139.43000000,41028.12000000
2022-05-30 10:59:59.999,41120.45000000,40916.36000000,40856.65000000
2022-05-30 11:59:59.999,40925.06000000,41480.00000000,40925.06000000
2022-05-30 12:59:59.999,41488.52000000,42064.08000000,41488.52000000
2022-05-30 13:59:59.999,42072.66000000,42251.24000000,42035.90000000
2022-05-30 14:59:59.999,42282.14000000,42228.54000000,42126.18000000
2022-05-30 15:59:59.999,42229.18000000,42346.11000000,42138.55000000
2022-05-30 16:59:59.999,42348.78000000,42695.78000000,42312.65000000
2022-05-30 17:59:59.999,42750.16000000,42671.91000000,42540.00000000
2022-05-30 18:59:59.999,42667.07000000,42724.33000000,42584.12000000
2022-05-30 19:59:59.999,42725.85000000,42693.32000000,42524.05000000
2022-05-30 20:59:59.999,42676.09000000,42604.15000000,42520.26000000
2022-05-30 21:59:59.999,42603.71000000,42677.35000000,42582.50000000
2022-05-30 22:59:59.999,42669.97000000,42554.27000000,42308.00000000
2022-05-30 23:59:59.999,42553.50000000,42455.28000000,42164.00000000
2022-05-31 00:59:59.999,42439.97000000,42346.89000000,42318.55000000
2022-05-31 01:59:59.999,42341.14000000,42577.22000000,42334.79000000
2022-05-31 02:59:59.999,42580.76000000,42557.36000000,42503.13000000
2022-05-31 03:59:59.999,42546.40000000,42648.37000000,42519.50000000
2022-05-31 04:59:59.999,42635.18000000,42614.00000000,42577.77000000
2022-05-31 05:59:59.999,42617.69000000,42615.04000000,42496.58000000
2022-05-31 06:59:59.999,42579.49000000,43452.03000000,42459.84000000
2022-05-31 07:59:59.999,43466.76000000,44147.76000000,43000.00000000
2022-05-31 08:59:59.999,44200.03000000,44140.45000000,43759.93000000
2022-05-31 09:59:59.999,44166.73000000,44108.49000000,43935.15000000
2022-05-31 10:59:59.999,44095.71000000,43944.80000000,43796.88000000
2022-05-31 11:59:59.999,43920.26000000,43912.09000000,43839.66000000
2022-05-31 12:59:59.999,43890.00000000,44118.46000000,43857.14000000
2022-05-31 13:59:59.999,44108.83000000,44200.39000000,44029.27000000
2022-05-31 14:59:59.999,44191.96000000,44078.31000000,44055.76000000
2022-05-31 15:59:59.999,44109.80000000,44013.98000000,43967.96000000
2022-05-31 16:59:59.999,43994.24000000,43854.03000000,43724.98000000
2022-05-31 17:59:59.999,43865.57000000,43930.65000000,43837.11000000
2022-05-31 18:59:59.999,43937.56000000,43940.48000000,43911.50000000
2022-05-31 19:59:59.999,43946.76000000,43900.05000000,43809.95000000
2022-05-31 20:59:59.999,43897.28000000,44064.75000000,43869.65000000
2022-05-31 21:59:59.999,44063.39000000,44260.37000000,44041.63000000
2022-05-31 22:59:59.999,44251.03000000,44133.09000000,43995.41000000
2022-05-31 23:59:59.999,44144.21000000,43697.99000000,43500.00000000
2022-06-01 00:59:59.999,43699.72000000,44151.57000000,43495.70000000
2022-06-01 01:59:59.999,44141.10000000,44600.49000000,43974.71000000
2022-06-01 02:59:59.999,44589.52000000,44743.48000000,44308.11000000
2022-06-01 03:59:59.999,44735.35000000,44653.84000000,44384.37000000
2022-06-01 04:59:59.999,44622.76000000,44097.58000000,43500.01000000
2022-06-01 05:59:59.999,44074.25000000,44070.23000000,43953.32000000
2022-06-01 06:59:59.999,44074.70000000,44260.02000000,43948.17000000
2022-06-01 07:59:59.999,44268.13000000,44172.57000000,44076.02000000
2022-06-01 08:59:59.999,44112.24000000,44381.28000000,44079.14000000
2022-06-01 09:59:59.999,44380.00000000,44260.58000000,44230.74000000
2022-06-01 10:59:59.999,44263.34000000,44380.83000000,44085.62000000
